GSM4909553_20200611-190360B_012N_HG-U133_Plus_2_	GSM4909554_20200611-190360B_013N_HG-U133_Plus_2_	GSM4909555_20200616-190360B_014N_HG-U133_Plus_2_	GSM4909556_20200616-190360B_015N_HG-U133_Plus_2_	GSM4909609_20200611-190360B_012T_HG-U133_Plus_2_	GSM4909610_20200611-190360B_013T_HG-U133_Plus_2_	GSM4909611_20200616-190360B_014T_HG-U133_Plus_2_	GSM4909612_20200616-190360B_015T_HG-U133_Plus_2_
1007_s_at	9.45921101705178	9.51203853310465	9.35233225582358	9.18413427915799	10.2268695024035	10.4956820381416	9.3228721121402	9.87745434616988
1053_at	5.46388309488337	5.402964736815	5.37855327923133	5.72082032178006	6.24552505079931	6.40086981043137	5.36493358577493	5.8387768088361
117_at	4.79990463424717	4.62222064462269	4.32423539317862	4.64713236369765	4.85712963434161	4.62027631887543	4.86409232862554	4.48021131278124
121_at	7.07887728166021	7.15029789818344	6.83165094515532	6.80939555260823	6.66316333170759	6.63464568287226	6.91607209873517	6.3015413373536
1255_g_at	1.97864869282476	2.15461882258926	2.19403608302878	2.15044272227396	2.04782886529217	2.13881728653535	3.2383134755214	2.44452753566105
1294_at	6.79283285639166	6.31806537950018	6.19029238441545	6.35096850115052	6.23545440423004	5.68959778187325	7.07401063624596	6.03113340807755
1316_at	5.70970431086749	5.8968418955815	5.89871914251389	5.95419415266209	5.90486087949835	5.94070012244235	5.9006082199034	6.07626926008772
1320_at	3.29382582249816	3.2223005175337	3.36784403517115	3.31910555847598	3.24203052468706	3.28281269226403	3.15475476713561	3.16214185216734
1405_i_at	8.99392556848601	7.31621905654086	8.31732072281977	7.39106466637995	9.20959070061093	5.95675973865733	9.6802827719392	7.77735365793559
1431_at	4.29397471158147	5.03833934889568	3.65130562655918	5.3612529766904	3.72530959294201	2.97842936947024	3.24609602968188	3.19562780861995
1438_at	4.6917999832278	4.79680264241422	4.64407886262465	4.6242532018785	4.61073179004364	5.28474435929653	4.72533062879185	4.47849522790739
1487_at	7.24319371366216	7.02983790275899	6.88419032164216	7.10446197860818	7.61279027349096	7.62901665350054	6.78361799146302	7.08758267055504
1494_f_at	4.84350495496272	5.03926313252554	5.06659892881219	4.96149439778138	5.19166887167247	5.0004298385655	4.90038307173569	4.83881634259955
1552256_a_at	5.56127664570788	5.66957212462659	5.42212280869501	5.73751405482392	7.20188580911599	5.50928760707419	6.44237465682883	5.75968655288459
1552257_a_at	8.96646801506946	8.74510103928971	8.60084140834408	8.95987000495954	8.88493546901856	9.02216930490435	7.85195307837127	8.43127552829134
1552258_at	4.31027694056227	4.43148054604274	4.44572967678894	4.46416285523535	4.4483809791436	4.14994769788384	4.64060381858564	4.41087597277363
1552261_at	3.40353073661098	3.59725676667444	3.18332952223175	3.409192617723	3.27963023053018	3.45888916875261	3.49121870175871	3.07887692648252
1552263_at	5.90205415017599	5.824040281485	6.12110319245857	5.93871150319235	5.2841728588515	5.96014859355895	5.85339944199693	5.90044915774341
1552264_a_at	5.91448962009722	5.84928038288583	5.8491995656384	6.01507303577446	5.49590854274389	5.9917671558381	5.35852751950187	5.58382197707705
1552266_at	2.06346412239994	1.72298897940626	1.78950642225814	1.82442385852313	1.92507580588284	2.04125335069524	1.53802528419745	1.94014367704525
1552269_at	2.17202511252902	2.17349405420578	2.39167721603612	2.41291135200647	2.66178578307961	2.43891259611691	2.49474325792795	2.45943474790886
