Ensambel	Gene Name	Gene Type	Normal-1	Normal-2	Normal-3	Normal-4	Tumor-1	Tumor-2	Tumor-3	Tumor-4
1	ENSG00000000003.15	TSPAN6	protein_coding	4473	2528	5453	1238	1883	1118	5229	1024
2	ENSG00000000005.6	TNMD	protein_coding	3	4	0	1	0	2	3	3
3	ENSG00000000419.13	DPM1	protein_coding	742	2612	3707	1065	3241	1984	4640	1106
4	ENSG00000000457.14	SCYL3	protein_coding	732	1740	1561	695	797	652	2349	621
5	ENSG00000000460.17	C1orf112	protein_coding	183	362	2301	317	593	318	1402	109
6	ENSG00000000938.13	FGR	protein_coding	245	488	1893	133	333	687	664	365
7	ENSG00000000971.16	CFH	protein_coding	865	13697	5113	2291	4219	3167	6624	3405
8	ENSG00000001036.14	FUCA2	protein_coding	485	5335	6029	1786	1490	2430	10213	1129
9	ENSG00000001084.13	GCLC	protein_coding	2322	9467	6019	2524	4822	7501	6069	1747
10	ENSG00000001167.14	NFYA	protein_coding	1060	3035	3587	1679	2067	5105	6162	1026
11	ENSG00000001460.18	STPG1	protein_coding	396	1392	960	325	1085	243	1054	284
12	ENSG00000001461.17	NIPAL3	protein_coding	2967	5963	4262	3057	1617	1551	4619	2571
13	ENSG00000001497.18	LAS1L	protein_coding	1064	1929	5141	1100	4369	1837	3207	1410
14	ENSG00000001561.7	ENPP4	protein_coding	246	4542	2422	3885	36	4223	4939	4692
15	ENSG00000001617.12	SEMA3F	protein_coding	20424	7973	6619	3388	10119	8047	3840	1615
16	ENSG00000001626.16	CFTR	protein_coding	193	2436	6760	257	11	1280	8317	37
17	ENSG00000001629.10	ANKIB1	protein_coding	2000	8885	5809	2889	3949	3596	12765	3120
18	ENSG00000001630.17	CYP51A1	protein_coding	173	489	333	105	275	125	751	96
19	ENSG00000001631.16	KRIT1	protein_coding	176	875	315	254	325	316	1268	372
20	ENSG00000002016.18	RAD52	protein_coding	253	1497	688	514	270	378	1913	483
21	ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	14	72	43	40	16	48	89	14
22	ENSG00000002330.14	BAD	protein_coding	433	1154	589	335	450	333	814	355
23	ENSG00000002549.12	LAP3	protein_coding	2201	5553	12597	2558	4572	4838	10819	2216
24	ENSG00000002586.20	CD99	protein_coding	7075	7535	5782	2753	18395	6137	7452	7172
25	ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0	0	0	0	0
26	ENSG00000002587.10	HS3ST1	protein_coding	1370	4221	2475	689	1435	2184	1442	157
27	ENSG00000002726.21	AOC1	protein_coding	422	8793	6103	168	48	3500	6944	184
28	ENSG00000002745.13	WNT16	protein_coding	8	55	11	11	12	22	335	44
29	ENSG00000002746.15	HECW1	protein_coding	18	62	177	54	117	13	474	99
30	ENSG00000002822.15	MAD1L1	protein_coding	14	27	92	11	43	68	85	10
31	ENSG00000002834.18	LASP1	protein_coding	6334	46627	32621	17672	17633	24321	58589	6424
32	ENSG00000002919.15	SNX11	protein_coding	1191	1857	1508	839	1416	1264	2081	917
33	ENSG00000002933.9	TMEM176A	protein_coding	334	3493	3638	694	797	2702	14383	1243
34	ENSG00000003056.8	M6PR	protein_coding	1691	3578	6055	1320	3713	3669	6539	1365
35	ENSG00000003096.14	KLHL13	protein_coding	245	417	79	142	504	131	2134	887
36	ENSG00000003137.8	CYP26B1	protein_coding	1079	198	995	23	4349	366	2266	87
37	ENSG00000003147.19	ICA1	protein_coding	497	4556	2471	1713	47	2072	6036	987
38	ENSG00000003249.15	DBNDD1	protein_coding	3560	2938	3658	674	194	264	2356	394
